Variable,Label,Description,Values,Concatenated
race,Race,,"1=""White"" 2=""Black or African-American"" 3=""Asian"" 4=""American Indian or Alaskan Native"" 5=""Native Hawaiian or Other Pacific Islander"" 6=""More than one race"" 7=""Participant refused to answer"" 95=""Missing data form - form is not expected to ever be completed"" 96=""Missing - no response"" 98=""Missing - form was submitted and the answer was left blank"" 99=""Unknown/ decline to answer""|









 Section 3: Smoking","Race |  | 1=""White"" 2=""Black or African-American"" 3=""Asian"" 4=""American Indian or Alaskan Native"" 5=""Native Hawaiian or Other Pacific Islander"" 6=""More than one race"" 7=""Participant refused to answer"" 95=""Missing data form - form is not expected to ever be completed"" 96=""Missing - no response"" 98=""Missing - form was submitted and the answer was left blank"" 99=""Unknown/ decline to answer""|









"
cigsmok,Smoking status at T0,Cigarette smoking status (current vs former) at randomization.  Former smokers must have quit within 15 years of eligibility determination to have been eligible for the trial.,"0=""Former"" 1=""Current""|









 Section 4: Screening","Smoking status at T0 | Cigarette smoking status (current vs former) at randomization.  Former smokers must have quit within 15 years of eligibility determination to have been eligible for the trial. | 0=""Former"" 1=""Current""|









"
can_scr,Result of screen associated with the first confirmed lung cancer diagnosis,"Indicates whether the cancer followed a positive, negative, or missed screen, or whether it occurred after the screening years.","0=""No Cancer"" 1=""Positive Screen"" 2=""Negative Screen"" 3=""Missed Screen"" 4=""Post Screening""|","Result of screen associated with the first confirmed lung cancer diagnosis | Indicates whether the cancer followed a positive, negative, or missed screen, or whether it occurred after the screening years. | 0=""No Cancer"" 1=""Positive Screen"" 2=""Negative Screen"" 3=""Missed Screen"" 4=""Post Screening""|"
canc_free_days,Days from randomization to date when participant was last known to be free from lung cancer,"Days until the date the participant was last known to be free of lung cancer.  This date comes from a participant study update form, except for ACRIN participants with cancer, where the cancer diagnosis date is used.  Do not use this variable to calculate follow-up time for lung cancer incidence rates, Cox regressions, etc.  Instead, use fup_days for non-cases and candx_days for cases.",Numeric|,"Days from randomization to date when participant was last known to be free from lung cancer | Days until the date the participant was last known to be free of lung cancer.  This date comes from a participant study update form, except for ACRIN participants with cancer, where the cancer diagnosis date is used.  Do not use this variable to calculate follow-up time for lung cancer incidence rates, Cox regressions, etc.  Instead, use fup_days for non-cases and candx_days for cases. | Numeric|"
canc_rpt_link,Is the diagnosis of lung cancer associated with a positive screen?,Is the diagnosis of lung cancer associated with a positive screen?  A positive screen and a cancer diagnosis are associated based on a linking algorithm using diagnostic procedures.,"0=""No"" 1=""Yes""|","Is the diagnosis of lung cancer associated with a positive screen? | Is the diagnosis of lung cancer associated with a positive screen?  A positive screen and a cancer diagnosis are associated based on a linking algorithm using diagnostic procedures. | 0=""No"" 1=""Yes""|"
cancyr,Study year associated with first confirmed lung cancer,Study year associated with the first confirmed lung cancer.  A cancer associated with a  positive screen is assigned the study year of that screen.,".N=""Not Applicable"" 0=""T0"" 1=""T1"" 2=""T2"" 3=""T3"" 4=""T4"" 5=""T5"" 6=""T6"" 7=""T7""|","Study year associated with first confirmed lung cancer | Study year associated with the first confirmed lung cancer.  A cancer associated with a  positive screen is assigned the study year of that screen. | .N=""Not Applicable”
0= 1=The year in which the patient was diagnosed with the condition (Year 1 of the study).
2=The second year of the study or one year after the baseline diagnosis. 
3=The third year of the study or two years after the baseline diagnosis.
4=The fourth year of the study or three years after the baseline diagnosis.
5=The fifth year of the study or four years after the baseline diagnosis.
6=The sixth year of the study or five years after the baseline diagnosis.
7=The seventh year of the study or six years after the baseline diagnosis."
candx_days,Days from randomization to first diagnosis of lung cancer,,"Numeric .N=""No diagnosis date on record""|","Days from randomization to first diagnosis of lung cancer |  | Numeric .N=""No diagnosis date on record""|"
de_grade,Lung cancer grade,,".N=""Not Applicable"" 1=""Grade Cannot Be Assessed (GX) "" 2=""Well Differentiated (G1)"" 3=""Moderately Differentiated (G2)"" 4=""Poorly Differentiated (G3)"" 5=""Undifferentiated (G4)"" 6=""Unspecified in Pathology Report"" 8=""Unknown"" 9=""Missing""|","Lung cancer grade |  | .N=""Not Applicable"" 1=""Grade Cannot Be Assessed (GX) "" 2=""Well Differentiated (G1)"" 3=""Moderately Differentiated (G2)"" 4=""Poorly Differentiated (G3)"" 5=""Undifferentiated (G4)"" 6=""Unspecified in Pathology Report"" 8=""Unknown"" 9=""Missing""|"
de_stag,Lung cancer Stage,"Lung cancer stage (AJCC 6), combining clinical and pathologic staging information.",".M=""Missing"" .N=""Not Applicable"" 110=""Stage IA"" 120=""Stage IB"" 210=""Stage IIA"" 220=""Stage IIB"" 310=""Stage IIIA"" 320=""Stage IIIB"" 400=""Stage IV"" 888=""TNM not available"" 900=""Occult Carcinoma"" 994=""Carcinoid, cannot be assessed"" 999=""Unknown, cannot be assessed""|","Lung cancer Stage | Lung cancer stage (AJCC 6), combining clinical and pathologic staging information. | .M=""Missing"" .N=""Not Applicable"" 110=Tumor ≤3 cm, no lymph node involvement, no metastasis.
120=Tumor >3 cm but ≤5 cm, no lymph node involvement, no metastasis.
210=Tumor ≤3 cm, lymph node involvement on the same side, no metastasis.
220=Tumor with larger size or local invasion, possible same-side lymph node involvement, no metastasis.
310=Tumor involving lymph nodes in the mediastinum (same side), no metastasis.
320=Tumor invading nearby organs or opposite-side lymph node involvement, no metastasis.
400=Tumor of any size with any lymph node involvement and distant metastasis.
888=""TNM not available""
900=""Occult Carcinoma"" 994=""Carcinoid, cannot be assessed"" 999=""Unknown, cannot be assessed""|"
de_stag_7thed,AJCC 7th edition stage,"Stage of first primary lung cancer, based on AJCC 7th edition stage",".M=""Missing"" .N=""Not Applicable"" 110=""Stage IA"" 120=""Stage IB"" 210=""Stage IIA"" 220=""Stage IIB"" 310=""Stage IIIA"" 320=""Stage IIIB"" 400=""Stage IV"" 900=""Occult Carcinoma"" 999=""Unknown, cannot be assessed""|","AJCC 7th edition stage | Stage of first primary lung cancer, based on AJCC 7th edition stage | .M=""Missing"" .N=""Not Applicable"" 110=Tumor ≤3 cm, no lymph node involvement, no metastasis.
120=Tumor >3 cm but ≤5 cm, no lymph node involvement, no metastasis.
210=Tumor ≤3 cm, lymph node involvement on the same side, no metastasis.
220=Tumor with larger size or local invasion, possible same-side lymph node involvement, no metastasis.
310=Tumor involving lymph nodes in the mediastinum (same side), no metastasis.
320=Tumor invading nearby organs or opposite-side lymph node involvement, no metastasis.
400=Tumor of any size with any lymph node involvement and distant metastasis.
900=""Occult Carcinoma"" 999=""Unknown, cannot be assessed""|"
de_type,Lung cancer type from ICD-O-3 morphology,"Lung cancer type from ICD-O-3 morphology.  For LSS participants, this is recorded separately from the complete ICD code, and represents the best information available on the type of the cancer.","Numeric .M=""Missing"" .N=""Not Applicable""|","Lung cancer type from ICD-O-3 morphology | Lung cancer type from ICD-O-3 morphology.  For LSS participants, this is recorded separately from the complete ICD code, and represents the best information available on the type of the cancer. | Numeric .M=""Missing"" .N=""Not Applicable""|"
lesionsize,Pathology lesion size of tumor in millimeters,,"Numeric .M=""Missing"" .N=""Not Applicable""|","Pathology lesion size of tumor in millimeters |  | Numeric .M=""Missing"" .N=""Not Applicable""|"
loccar,Cancer in Carina,Was the primary tumor located in the carina?  A tumor may be located in more than one location.,".N=""Not Applicable"" 0=""No"" 1=""Yes""|","Cancer in Carina | Was the primary tumor located in the carina?  A tumor may be located in more than one location. | .N=""Not Applicable"" 0=""No"" 1=""Yes""|"
loclhil,Cancer in Left Hilum,Was the primary tumor located in the left hilum?  A tumor may be located in more than one location.,".N=""Not Applicable"" 0=""No"" 1=""Yes""|","Cancer in Left Hilum | Was the primary tumor located in the left hilum?  A tumor may be located in more than one location. | .N=""Not Applicable"" 0=""No"" 1=""Yes""|"
loclin,Cancer in Lingula,Was the primary tumor located in the lingula?  A tumor may be located in more than one location.,".N=""Not Applicable"" 0=""No"" 1=""Yes""|","Cancer in Lingula | Was the primary tumor located in the lingula?  A tumor may be located in more than one location. | .N=""Not Applicable"" 0=""No"" 1=""Yes""|"
locllow,Cancer in Left lower lobe,Was the primary tumor located in the left lower lobe?  A tumor may be located in more than one location.,".N=""Not Applicable"" 0=""No"" 1=""Yes""|","Cancer in Left lower lobe | Was the primary tumor located in the left lower lobe?  A tumor may be located in more than one location. | .N=""Not Applicable"" 0=""No"" 1=""Yes""|"
loclmsb,Cancer in Left main stem bronchus,Was the primary tumor located in the left main stem bronchus?  A tumor may be located in more than one location.,".N=""Not Applicable"" 0=""No"" 1=""Yes""|","Cancer in Left main stem bronchus | Was the primary tumor located in the left main stem bronchus?  A tumor may be located in more than one location. | .N=""Not Applicable"" 0=""No"" 1=""Yes""|"
loclup,Cancer in Left upper lobe,Was the primary tumor located in the left upper lobe?  A tumor may be located in more than one location.,".N=""Not Applicable"" 0=""No"" 1=""Yes""|","Cancer in Left upper lobe | Was the primary tumor located in the left upper lobe?  A tumor may be located in more than one location. | .N=""Not Applicable"" 0=""No"" 1=""Yes""|"
locmed,Cancer in Mediastinum,Was the primary tumor located in the mediastinum?  A tumor may be located in more than one location.,".N=""Not Applicable"" 0=""No"" 1=""Yes""|","Cancer in Mediastinum | Was the primary tumor located in the mediastinum?  A tumor may be located in more than one location. | .N=""Not Applicable"" 0=""No"" 1=""Yes""|"
locoth,Cancer in Other Location,Was the primary tumor located in an other specified location?  A tumor may be located in more than one location.,".N=""Not Applicable"" 0=""No"" 1=""Yes""|","Cancer in Other Location | Was the primary tumor located in an other specified location?  A tumor may be located in more than one location. | .N=""Not Applicable"" 0=""No"" 1=""Yes""|"
locrhil,Cancer in Right Hilum,Was the primary tumor located in the right hilum?  A tumor may be located in more than one location.,".N=""Not Applicable"" 0=""No"" 1=""Yes""|","Cancer in Right Hilum | Was the primary tumor located in the right hilum?  A tumor may be located in more than one location. | .N=""Not Applicable"" 0=""No"" 1=""Yes""|"
locrlow,Cancer in Right lower lobe,Was the primary tumor located in the right lower lobe?  A tumor may be located in more than one location.,".N=""Not Applicable"" 0=""No"" 1=""Yes""|","Cancer in Right lower lobe | Was the primary tumor located in the right lower lobe?  A tumor may be located in more than one location. | .N=""Not Applicable"" 0=""No"" 1=""Yes""|"
locrmid,Cancer in Right middle lobe,Was the primary tumor located in the right middle lobe?  A tumor may be located in more than one location.,".N=""Not Applicable"" 0=""No"" 1=""Yes""|","Cancer in Right middle lobe | Was the primary tumor located in the right middle lobe?  A tumor may be located in more than one location. | .N=""Not Applicable"" 0=""No"" 1=""Yes""|"
locrmsb,Cancer in Right main stem bronchus,Was the primary tumor located in the right main stem bronchus?  A tumor may be located in more than one location.,".N=""Not Applicable"" 0=""No"" 1=""Yes""|","Cancer in Right main stem bronchus | Was the primary tumor located in the right main stem bronchus?  A tumor may be located in more than one location. | .N=""Not Applicable"" 0=""No"" 1=""Yes""|"
locrup,Cancer in Right upper lobe,Was the primary tumor located in the right upper lobe?  A tumor may be located in more than one location.,".N=""Not Applicable"" 0=""No"" 1=""Yes""|","Cancer in Right upper lobe | Was the primary tumor located in the right upper lobe?  A tumor may be located in more than one location. | .N=""Not Applicable"" 0=""No"" 1=""Yes""|"
locunk,Cancer in Unknown location,Was the primary tumor located in an unknown location?  A tumor may be located in more than one location.,".N=""Not Applicable"" 0=""No"" 1=""Yes""|","Cancer in Unknown location | Was the primary tumor located in an unknown location?  A tumor may be located in more than one location. | .N=""Not Applicable"" 0=""No"" 1=""Yes""|"
ctdxqual,Overall diagnostic quality of CT examination,,".M=""Missing"" 1=""Diagnostic CT"" 2=""Limited CT, but interpretable"" 3=""Non-diagnostic CT exam""|","Overall diagnostic quality of CT examination |  | .M=""Missing"" 1=""Diagnostic CT"" 2=""Limited CT, but interpretable"" 3=""Non-diagnostic CT exam""|"
ctdxqual_artifact,Reason for limited / non-diagnostic CT: Severe beam hardening artifact,,".N=""Not Applicable"" 0=""No"" 1=""Yes""|","Reason for limited / non-diagnostic CT: Severe beam hardening artifact |  | .N=""Not Applicable"" 0=""No"" 1=""Yes""|"
ctdxqual_breath,Reason for limited / non-diagnostic CT: Submaximal inspiratory breath-hold,,".N=""Not Applicable"" 0=""No"" 1=""Yes""|","Reason for limited / non-diagnostic CT: Submaximal inspiratory breath-hold |  | .N=""Not Applicable"" 0=""No"" 1=""Yes""|"
ctdxqual_graininess,Reason for limited / non-diagnostic CT: Excessive quantum mottle or graininess,,".N=""Not Applicable"" 0=""No"" 1=""Yes""|","Reason for limited / non-diagnostic CT: Excessive quantum mottle or graininess |  | .N=""Not Applicable"" 0=""No"" 1=""Yes""|"
ctdxqual_inadeqimg,Reason for limited / non-diagnostic CT: Lungs not completely imaged,,".N=""Not Applicable"" 0=""No"" 1=""Yes""|","Reason for limited / non-diagnostic CT: Lungs not completely imaged |  | .N=""Not Applicable"" 0=""No"" 1=""Yes""|"
ctdxqual_motion,Reason for limited / non-diagnostic CT: Motion artifact,,".N=""Not Applicable"" 0=""No"" 1=""Yes""|","Reason for limited / non-diagnostic CT: Motion artifact |  | .N=""Not Applicable"" 0=""No"" 1=""Yes""|"
ctdxqual_other,Reason for limited / non-diagnostic CT: Other (specify),,".N=""Not Applicable"" 0=""No"" 1=""Yes""|","Reason for limited / non-diagnostic CT: Other (specify) |  | .N=""Not Applicable"" 0=""No"" 1=""Yes""|"
ctdxqual_resp,Reason for limited / non-diagnostic CT: Respiratory misregistration,,".N=""Not Applicable"" 0=""No"" 1=""Yes""|","Reason for limited / non-diagnostic CT: Respiratory misregistration |  | .N=""Not Applicable"" 0=""No"" 1=""Yes""|"
ctdxqual_techpara,Reason for limited / non-diagnostic CT: Incorrect technical parameter(s),,".N=""Not Applicable"" 0=""No"" 1=""Yes""|","Reason for limited / non-diagnostic CT: Incorrect technical parameter(s) |  | .N=""Not Applicable"" 0=""No"" 1=""Yes""|"
study_yr,Study Year of Screen,,"0=""T0"" 1=""T1"" 2=""T2""|","Study Year of Screen |  | 0=""T0"" 1=""T1"" 2=""T2""|"
techpara_effmas,Technical parameters: Effective mAs,"Technical parameters: Effective mAs  This variable comes from the data collection forms.  It may disagree with data extracted from the CT images' DICOM headers.  Header data may be obtained from the NLST CT image collection at TCIA or from ACRIN.","Numeric .M=""Missing""|","Technical parameters: Effective mAs | Technical parameters: Effective mAs  This variable comes from the data collection forms.  It may disagree with data extracted from the CT images' DICOM headers.  Header data may be obtained from the NLST CT image collection at TCIA or from ACRIN. | Numeric .M=""Missing""|"
techpara_fov,Technical parameters: Display FOV in cm,"Technical parameters: Display FOV in cm  This variable comes from the data collection forms.  It may disagree with data extracted from the CT images' DICOM headers.  Header data may be obtained from the NLST CT image collection at TCIA or from ACRIN.","Numeric .M=""Missing""|","Technical parameters: Display FOV in cm | Technical parameters: Display FOV in cm  This variable comes from the data collection forms.  It may disagree with data extracted from the CT images' DICOM headers.  Header data may be obtained from the NLST CT image collection at TCIA or from ACRIN. | Numeric .M=""Missing""|"
techpara_kvp,Technical parameters: kVp,"Technical parameters: kVp  This variable comes from the data collection forms.  It may disagree with data extracted from the CT images' DICOM headers.  Header data may be obtained from the NLST CT image collection at TCIA or from ACRIN.","Numeric .M=""Missing""|","Technical parameters: kVp | Technical parameters: kVp  This variable comes from the data collection forms.  It may disagree with data extracted from the CT images' DICOM headers.  Header data may be obtained from the NLST CT image collection at TCIA or from ACRIN. | Numeric .M=""Missing""|"
techpara_ma,Technical parameters: mA,"Technical parameters: mA  This variable comes from the data collection forms.  It may disagree with data extracted from the CT images' DICOM headers.  Header data may be obtained from the NLST CT image collection at TCIA or from ACRIN.","Numeric .M=""Missing""|","Technical parameters: mA | Technical parameters: mA  This variable comes from the data collection forms.  It may disagree with data extracted from the CT images' DICOM headers.  Header data may be obtained from the NLST CT image collection at TCIA or from ACRIN. | Numeric .M=""Missing""|"
