Pretty Name,Frequency,Entity Type
Dopplers,4,ORG
Metastasis,4,ORG
hep gtt,4,PERSON
A third,4,CARDINAL
pleural effuison,4,PERSON
scan,4,GPE
Left hemidiaphragm,4,PERSON
Surgical,4,LOC
Stable,4,ORG
Hypoxia,4,GPE
PICA,4,ORG
SVC,4,PRODUCT
Mildly,4,GPE
s/p LLLobectomy,4,ORG
"IPF
  exacerbation",4,ORG
baseline lung,4,PERSON
RML/RLL,4,ORG
Coronally,4,NORP
POst,4,ORG
HCP,4,ORG
SVT,4,ORG
Cholecystostomy,4,NORP
craniocaudad,4,GPE
PA,4,GPE
s/p crani,4,ORG
Interlobular,4,NORP
F w/,4,PRODUCT
pleural fluid,4,ORG
PTT,4,ORG
L SC,4,ORG
Baseline,4,PERSON
intracranial,4,ORG
Magnevist,4,NORP
Renal,4,PERSON
SFV,4,ORG
CFV,4,ORG
Fatigue,4,PERSON
Presumed,4,NORP
s/p LVATS,4,ORG
Superimposed,4,ORG
Scattered,4,ORG
"GUID WIRES INCL INF                                                    *
 *",4,ORG
ten days ago,4,DATE
MR CONTRAST GADOLIN                        Clip,4,ORG
Ascites,4,NORP
Facet,4,ORG
ABDOMINAL PAIN,4,PERSON
pleural fluid,4,GPE
s/p L VATS,4,ORG
earlier today,4,DATE
s/p right crani,4,ORG
Attempts,4,PRODUCT
HYPOXIA,4,ORG
bas,4,PERSON
Coumadin,4,GPE
"CA
 REASON",4,PRODUCT
J.                    NSURG,4,PERSON
NP,4,ORG
Upper,4,GPE
soB,4,ORG
THORAX,4,GPE
"the Attending
 Radiologist",4,ORG
Query,4,ORG
"LUNG CA
 Admitting Diagnosis",4,PERSON
FNH,4,ORG
"LEG INFRACTION;RULE OUT TUBERCULOSIS
  Contrast",4,ORG
L Chest,4,ORG
"CA
  Contrast",4,ORG
Hemothorax,4,PERSON
Visualized,4,ORG
s/p Right,4,ORG
tardus,4,NORP
CCC,4,GPE
MVA,4,ORG
Bibasal,4,PERSON
NSIP,4,ORG
s/p extubation,4,ORG
MSSA,4,ORG
Left Lower,4,ORG
vermian,4,NORP
Background,4,FAC
DIC,4,ORG
s/p L SC,4,ORG
one-third,3,CARDINAL
Doboff,3,PERSON
several cm,3,QUANTITY
SINGLE AP PORTABLE,3,ORG
P.M.,3,GPE
Asymmetrical,3,ORG
Left lung base,3,PERSON
Air,3,ORG
NCSLC,3,ORG
RMLobe,3,ORG
Doubt,3,ORG
LE,3,ORG
Check NG,3,ORG
COPD s/p,3,ORG
six days ago,3,DATE
cm,3,PERSON
Abscess,3,PERSON
"L
  Contrast",3,ORG
L Subclavian,3,NORP
NRB,3,ORG
Left groin,3,LOC
s/p l,3,ORG
"CXR
  Contrast",3,ORG
Rightward,3,LOC
CareWeb,3,ORG
Stage IV NSCLC,3,ORG
RV,3,PERSON
EGD,3,ORG
ELEVATED,3,ORG
several minutes,3,TIME
Infection,3,ORG
intracranial pathology,3,ORG
several hours ago,3,TIME
PIP,3,ORG
Linear,3,FAC
Stage IA LLL,3,ORG
CT of,3,ORG
Onsite,3,ORG
Leftward,3,PERSON
Thoracotomy,3,PERSON
AVR,3,ORG
CT GUIDED NEEDLE PLACTMENT           Clip,3,ORG
Status post MI,3,ORG
Lobulated,3,PERSON
One day,3,DATE
eval hematoma,3,PERSON
"SVC
 Admitting Diagnosis",3,WORK_OF_ART
Consideration,3,ORG
LEFT UPPER EXTREMITY ULTRASOUND,3,ORG
ML,3,ORG
Opacity,3,ORG
Adenopathy,3,PERSON
Mult,3,PERSON
Multiple CT,3,ORG
Biapical,3,ORG
LLL Ca s/p LL,3,PERSON
"n/v
 REASON FOR THIS EXAMINATION",3,ORG
Solitary,3,ORG
Gastric,3,ORG
Subcarinal,3,NORP
NSCLC s/p XRT,3,ORG
PERFOM,3,ORG
one month,3,DATE
Tracer,3,PRODUCT
Tracheostomy,3,PERSON
post obstructive pna &,3,ORG
Superficial,3,ORG
"S/P
 Admitting Diagnosis:",3,ORG
Sequelae,3,PERSON
NONE,3,ORG
UPPER EXTREMITY ULTRASOUND,3,ORG
Left PTX,3,PERSON
Bilateral,3,NORP
two minutes,3,TIME
Cough,3,ORG
CABG,3,LAW
LUNG METS EVAL,3,PERSON
Keppra,3,PERSON
MRSA,3,ORG
s/p IVC,3,ORG
GU,3,PERSON
Aortic,3,ORG
LLL PNA,3,ORG
DM,3,ORG
Lovenox,3,PERSON
CareWeb,3,PRODUCT
"s/p CABG
 REASON FOR THIS EXAMINATION",3,ORG
two weeks,3,DATE
emphysema s/p LUL,3,PERSON
Prolene,3,PERSON
hemothorax s/o,3,PERSON
hemorrhagic,3,PERSON
EGFR,3,PERSON
"PCP PNA
 REASON FOR THIS EXAMINATION",3,ORG
Alveolar,3,ORG
CABG,3,NORP
"MRA NECK W&W/O CONTRAST
 Reason",3,ORG
s/p IVF,3,ORG
friday,3,DATE
L MCA,3,ORG
KNEE,3,ORG
NON-CONTRAST CT OF THE CHEST,3,ORG
At least one,3,CARDINAL
P Pericardial,3,ORG
FLAIR,3,WORK_OF_ART
the nasopharynx,3,DATE
CTAassess,3,ORG
aorta,3,PERSON
oropharynx,3,GPE
Bronchiectasis,3,ORG
lung SCC s/p,3,ORG
VENOUS,3,ORG
the brachiocephalic vein,3,ORG
mannitol,3,ORG
approximately six hours earlier,3,TIME
Elevated,3,ORG
ATELECTASIS,3,ORG
FDG PET-CT,3,ORG
Palatal,3,ORG
this date,3,DATE
UPRIGHT AP CHEST,3,ORG
tibia,3,GPE
Marrow,3,GPE
s/p RL,3,ORG
MS,3,GPE
"s/p RUL
 REASON FOR THIS EXAMINATION",3,ORG
cerebellar infarct -,3,PERSON
ICU,3,LOC
hepatic metastases,3,ORG
multiplanar reformats,3,GPE
JP,3,ORG
Left pleural effusion,3,LOC
"GB
  Contrast",3,ORG
Five,3,CARDINAL
Three hours,3,TIME
approximately five hours earlier,3,TIME
cardiac,3,ORG
Curvilinear,3,PERSON
Abnormal,3,LOC
Neutropenic,3,ORG
year-old,3,DATE
Apical,3,PRODUCT
nsclc s/p embolization,3,PERSON
LUNG CANCER,3,PERSON
IMI,3,ORG
hemorrhagic pericardial effusion,3,ORG
s/p STEMI,3,ORG
"s/p
  pericardial drain placement",3,ORG
OR,3,PRODUCT
LEFT                                Clip,3,PERSON
Mitral,3,GPE
Diagnostic,3,ORG
CTA ABD W&W/O C & RECONS                  Clip,3,ORG
Subacute,3,PERSON
recent fall,3,DATE
aortoenteric fistula,3,PERSON
F w,3,PRODUCT
PTX,3,FAC
mult lung,3,PERSON
Limited CT,3,ORG
VERTEBROPLASTY,3,ORG
a.m.,3,TIME
EIA,3,ORG
CIA,3,ORG
Earlier same day,3,DATE
EXT VEINS US,3,ORG
ETOH,3,ORG
NON-CONTRAST,3,ORG
LLLobectomy,3,ORG
FATIGUE,3,ORG
exactly?Any hematoma,3,LOC
Port-A-Cath,3,WORK_OF_ART
NSurg,3,GPE
LULobectomy,3,ORG
s/p p-fossa crani,3,ORG
APC/ Electrocautery,3,ORG
Accurate,3,ORG
Kerley,3,ORG
IIA,3,ORG
at least four,3,CARDINAL
Vacuum,3,PERSON
Cancer,3,PERSON
"s/p RLLobectomy
 REASON FOR THIS EXAMINATION",3,ORG
M.D.,3,GPE
Left lingula mass-like,3,PERSON
Left lung,3,LOC
NI,3,GPE
L,3,ORG
Hemorrhagic,3,ORG
LSC,3,ORG
Non-contrast,3,ORG
IVC/SVC,3,ORG
Non-ionic,3,ORG
s/p p,3,ORG
s/p LUL s/p chest,3,ORG
LENI,3,ORG
University/College,3,ORG
CA s/p,3,PERSON
BILATERAL LOWER EXTREMITY ULTRASOUND,3,ORG
Tachycardia,3,GPE
"DM, HTN",3,ORG
foley,3,PERSON
Biapical,3,PERSON
A-GRAM      *,3,PRODUCT
Series,3,EVENT
Staging CT,3,ORG
GNR,3,ORG
CA s/p VATS RLL,3,ORG
MI,3,ORG
SDH,3,ORG
Six,3,CARDINAL
Pneumoperitoneum,3,ORG
Pelvic,3,PRODUCT
Catheter,3,PERSON
Subcentimeter,3,PRODUCT
bony metastases,3,ORG
Left middle lung,3,LOC
acute MI,3,ORG
Neutropenia,3,GPE
"CXR
 Admitting Diagnosis",3,ORG
Cantonese,3,LANGUAGE
O.R.                                     Clip,3,ORG
Angiocath,3,NORP
PAIN,3,ORG
METS,3,ORG
Evaluate OG,3,LOC
RIGHT UPPER EXTREMITY ULTRASOUND,3,ORG
s/p mva,3,ORG
"the previous
 day",3,DATE
Renal,3,ORG
Nodules,3,ORG
"s/p
  extubation",3,ORG
h/o HTN,3,ORG
O.R.                                                 Clip,3,FAC
Cardiomediastinum,3,ORG
diverticuli,3,GPE
P.M.,3,PERSON
Linear,3,LOC
EYeh,3,PERSON
Abscess,3,PRODUCT
Recommend followup CT,3,ORG
RUQ US,3,ORG
s/p PEA,3,ORG
Cerebral,3,ORG
Diverticula,3,PERSON
Porta,3,GPE
NSCLC/SCLC p/w,3,ORG
"RIJ
 _",3,LAW
AC,3,ORG
french,3,NORP
the day earlier,3,DATE
"LEFT
 Reason",3,PERSON
"S/P FALL
 _",3,ORG
cardiac silhouette,3,ORG
"IP
 Admitting Diagnosis: CENTRAL AIRWAY",3,ORG
LEFT                                           Clip,3,PERSON
NEUTRAL & AXILLARY,3,ORG
approximately two-thirds,3,CARDINAL
FX,3,ORG
Renegade STC,3,PERSON
widespread hepatic metastases,3,ORG
Mediastinal,3,LAW
approximately three hours,3,TIME
Constellation,3,PRODUCT
"SVC
  Contrast",3,ORG
BARIUM ESOPHAGOGRAM,3,ORG
"s/p Left Pneumonectomy
 REASON FOR THIS EXAMINATION",3,ORG
RUL,3,ORG
KKgc FRI,3,PERSON
Legionella,3,PERSON
Recurrent,3,LOC
SUPINE AP OF THE CHEST,3,ORG
@@@@@@@@@@@@@@,3,PERSON
CA w/,3,PERSON
"s/p LULobectomy
 REASON FOR THIS EXAMINATION",3,ORG
Hemoptysis,3,ORG
GAD,3,ORG
d/w Dr.,3,ORG
SCC,3,ORG
hygromas,3,PERSON
Intra,3,NORP
Left thyroid nodule,3,LOC
IPH,3,ORG
Mild emphysema,3,PERSON
PACU,3,GPE
HLD,3,ORG
SOB s/p,3,ORG
DLnc FRI,3,PERSON
Central,3,LOC
CTA ABD W&W/O C & RECONS                   Clip,3,ORG
DL RUE PICC,3,ORG
Stage III NSCLC,3,ORG
JRld,3,PERSON
Decubitus,3,ORG
LUNG SCAN                                                       Clip,3,PERSON
L CP,3,GPE
DTPA Aerosol,3,PERSON
"PTX
 Admitting Diagnosis",3,WORK_OF_ART
Rlung,3,GPE
Surgery,3,PERSON
carcinoma s/p,3,ORG
RL,3,ORG
"NON-CORONARY
 Reason: Please",3,ORG
brachiocephalic vein,3,ORG
three days earlier,3,DATE
DFDkq,3,CARDINAL
CA w/,3,ORG
Carcinoma,3,PERSON
Observe,3,LOC
months,3,DATE
RECURRENT,3,GPE
s/p R Thoracotomy (Redo,3,ORG
Empyema,3,PERSON
several months,3,DATE
VENOUS RECANULATION                                             Clip,3,ORG
MORTISE & LAT,3,ORG
s/p chemo & Y-stent,3,ORG
NG,3,FAC
Pneumonia,3,PERSON
OC & RECONS,3,ORG
ABDOMINAL ULTRASOUND,3,ORG
The Swan-Ganz,3,WORK_OF_ART
L-Sacral,3,ORG
Ovoid,3,ORG
HASTE,3,ORG
groin hematoma,3,PERSON
basilic vein,3,ORG
last month,3,DATE
Goretex,3,ORG
Anesthesia,3,GPE
Wednesday,3,DATE
s/p CABG,3,ORG
RENAL FAILURE;PNEUMONIA,3,ORG
UPJ,3,PERSON
Symmetric,3,ORG
Hazy,3,ORG
MVR,3,ORG
HO,3,ORG
"pna/BPF
 REASON FOR THIS EXAMINATION",3,ORG
One day earlier,3,DATE
Trapease,3,ORG
"Left
 PICC",3,FAC
Left ICA aneurysmAnesthesia,3,LOC
cerebellar masses,3,ORG
Left subclavian CV,3,FAC
Aortogram,3,LOC
Glide,3,PERSON
s/p CT-guided,3,ORG
anomaly,3,GPE
s/p ET,3,ORG
Left subclavian,3,LOC
nine hours earlier,3,TIME
ON AIRBORNE PRECAUTIONS,3,ORG
RLE,3,ORG
PTCA,3,ORG
Thyroid,3,ORG
subQ,2,PERSON
L Ant,2,GPE
d/w dr,2,ORG
CSRU,2,GPE
Opacification of the right hemithorax,2,WORK_OF_ART
UNILATERAL,2,ORG
node,2,PERSON
SEPTIC,2,ORG
Ventricle,2,ORG
CT THORACENTESIS W/TUBE PLACMENTClip,2,ORG
five days,2,DATE
AR,2,ORG
Sulfur Colloid,2,PERSON
Egg Whites,2,PERSON
CT-GUIDED BIOPSY,2,ORG
four days earlier,2,DATE
the PET CT,2,ORG
REWIRED.TO,2,PRODUCT
S/P RLL,2,ORG
Ca s/p,2,PRODUCT
lobe emphysema,2,PERSON
Left IJ,2,PRODUCT
Hilal,2,PERSON
Opacity,2,LOC
PA & LATERAL CHEST:,2,ORG
Left ICA,2,PERSON
Moderate,2,NORP
Mucus,2,ORG
Intraparenchymal,2,PERSON
MR,2,GPE
Confirm ET,2,ORG
CAROTID A-GRAM,2,ORG
Picc,2,PERSON
Four hours,2,TIME
abnormal xray,2,ORG
D.,2,NORP
Replacement,2,GPE
carcinoma p/w,2,ORG
V Leiden,2,PERSON
LUNG CA - ?,2,PERSON
hemangioma,2,GPE
INCL,2,ORG
Orthopedic,2,PERSON
Pleurx,2,NORP
OG TUBE,2,ORG
NECK,2,ORG
Gram,2,EVENT
sequelae,2,ORG
Eight,2,CARDINAL
Cape,2,LOC
parenchymal metastases,2,ORG
earlier this date,2,DATE
Visipaque,2,ORG
chin tuck,2,PERSON
"rad
 Admitting Diagnosis:",2,PERSON
"RT mapping/planning
 Admitting Diagnosis",2,ORG
RESPIRATORY DISTRESS,2,ORG
Polyradiculopathy,2,PERSON
hemisph,2,PERSON
hte,2,ORG
"s/p stent
 REASON FOR THIS EXAMINATION",2,ORG
TONIGHT,2,TIME
septum,2,GPE
EYeh,2,PRODUCT
Compression of the fourth,2,WORK_OF_ART
WAND,2,LOC
Hemorrhagic CVA,2,PERSON
PNEUMO,2,ORG
weeks,2,DATE
W/ AP,2,ORG
Vertebroplasty,2,PERSON
"NSCLC s/p spinal fusion
 REASON FOR THIS EXAMINATION",2,ORG
"SOB
 REASON FOR THIS EXAMINATION",2,WORK_OF_ART
PMMA,2,ORG
pleura.,2,GPE
PRLX,2,ORG
thalami,2,GPE
L.,2,ORG
bt,2,GPE
Thick,2,PRODUCT
later in the day,2,TIME
"Subcutaneous
 emphysema",2,PERSON
Kkaliannan,2,PERSON
one year,2,DATE
Evaluate L,2,ORG
S/P LLL,2,ORG
SVT,2,GPE
HCC,2,ORG
L TKA,2,ORG
Omniflush,2,PERSON
lung ca,2,PERSON
"GDA per IR
 Admitting Diagnosis: UPPER GI BLEED
  Contrast",2,ORG
PUD,2,ORG
NSCLC s/p bronchial artery embolization,2,ORG
post embolization angiogram,2,EVENT
Rapidly,2,ORG
UPPER EXTREMITY VENOUS ULTRASOUND,2,ORG
EXT VEINS US PORT,2,ORG
empyema,2,PERSON
Statlock,2,PRODUCT
s/P Pericardial,2,ORG
bronchial carcinoid s/p L,2,ORG
S/P COLECTOMY WITH FEVER,2,ORG
SOS,2,ORG
RT LUNG EMPYMA,2,PERSON
"PO
 Admitting Diagnosis",2,FAC
SHOULDER,2,ORG
Hyperintense,2,ORG
s/p RML/RLL,2,ORG
s/p Dobhoff,2,ORG
LULectomy,2,ORG
Angioseal,2,PERSON
PULMONARY EMBOLISM,2,PERSON
IJ Cordis,2,PERSON
Instrument,2,ORG
cantonese,2,NORP
Progressive,2,ORG
approximately four hours,2,TIME
FDG-PET,2,ORG
SFA,2,ORG
"CKI
 REASON",2,PRODUCT
Left CT,2,ORG
Melena,2,PERSON
"INR
  Contrast",2,ORG
YR,2,GPE
LUNG MASS-S/P CHEMO/RAD,2,PERSON
FDG PET CT,2,ORG
a day ago,2,DATE
swan,2,NORP
six weeks ago,2,DATE
"C.
  Diff",2,PERSON
Lung CA s/p CABG/Mediastinal Lymph Node,2,PERSON
GIB s/p L-IJ,2,ORG
EFFUSION,2,GPE
STABLE,2,ORG
dx'd,2,GPE
Remote,2,ORG
Emboli,2,PERSON
MPOWELL,2,ORG
the second half,2,DATE
"Final
 internal length",2,ORG
AML,2,ORG
"neuro rad bx
 Admitting Diagnosis",2,PERSON
two and a half,2,DATE
later today,2,TIME
gastric,2,ORG
Postoperative,2,GPE
SUQ,2,GPE
LAD,2,PERSON
s/p RUlobectomy,2,ORG
s/p fall,2,MONEY
PA & LATERAL,2,ORG
S/P PICC,2,ORG
Tesla,2,NORP
"SVC
 REASON FOR THIS EXAMINATION",2,LOC
LAP,2,ORG
Option,2,LOC
five minutes,2,TIME
Retroperitoneal,2,ORG
Nodules,2,GPE
VQ,2,ORG
NP Gouping,2,ORG
TF,2,GPE
SMART,2,ORG
PTA,2,ORG
EYeh d/w IV,2,ORG
INTRAVENOUS,2,PERSON
Suspicious,2,PERSON
PTXes,2,ORG
Paranasal,2,ORG
PNT,2,ORG
Asses,2,ORG
CT GUIDED NEEDLE PLACTMENT    Clip,2,ORG
Endoscopy,2,ORG
"the
 Attending Radiologist",2,ORG
ED,2,GPE
Malignant,2,ORG
via,2,PERSON
LULobectomy,2,PERSON
Left Basilic PICC,2,ORG
SCLung CA,2,PERSON
Multidetector CT,2,ORG
pleura,2,PERSON
PEG Tube,2,ORG
W.                NMED,2,PERSON
Cervical,2,ORG
"four
 days",2,DATE
"cardiomegaly and/or
 pericardial effusion",2,WORK_OF_ART
s/p brain,2,ORG
motion and contrast bolus,2,ORG
Differential,2,LOC
one year ago,2,DATE
CT BRAIN PERFUSION                   Clip,2,ORG
NHL,2,ORG
FDG-PET CT,2,ORG
s/p LULobectomy  s/p CT,2,ORG
Trace,2,GPE
the past four days,2,DATE
Foci,2,GPE
Hematocrit,2,ORG
S/P BILAT,2,ORG
s/p d/c',2,ORG
Diagnostic,2,LOC
pneumocephaly,2,GPE
Confirmation,2,ORG
W.                NMED SICU-A,2,PERSON
LCpc MON,2,PRODUCT
pleural metastases,2,ORG
Routine CTA,2,PERSON
Communicated,2,ORG
DFDdp,2,PERSON
Upper GI,2,FAC
middle lung zone,2,GPE
evd,2,NORP
"SOB
 Admitting Diagnosis",2,ORG
ABSCESS/ & LUNG CA,2,ORG
a week,2,DATE
cvl.to,2,ORG
Focus of FLAIR,2,ORG
Two hours,2,TIME
Left IJ CVL,2,PERSON
MR ABD W&W,2,ORG
phlegmon,2,ORG
W/,2,GPE
Uterus,2,GPE
PTX -obatin,2,PERSON
acute intrathoracic,2,ORG
LUNG CA LUNG,2,PERSON
s/p VATS LLL,2,ORG
PA & LATERAL CHEST,2,ORG
"Tarceva
 No",2,LOC
Lat Decub,2,PRODUCT
ASSESS,2,ORG
"Tarceva
 REASON FOR THIS EXAMINATION",2,LOC
Gad,2,PERSON
Tachypnea,2,ORG
TSICU,2,ORG
Cord,2,PERSON
Single,2,NORP
pneumnia,2,GPE
Omni Flush,2,ORG
"s/p pneumoectomy
 REASON FOR THIS EXAMINATION",2,ORG
intracranial masses,2,ORG
"S/P RUL SLEEVE RESECTION OF CARINAs

 REASON FOR THIS EXAMINATION",2,ORG
F w/st III,2,PRODUCT
PLACEMENT,2,PERSON
"s/p r upperlobectomy
 REASON FOR THIS EXAMINATION",2,ORG
"s/p RML/RLLobectomy
 Admitting Diagnosis: RIGHT LUNG CA/SDA
 _",2,ORG
"TOMPONADE
  Contrast",2,ORG
MR CONTRAST GADOLIN                       Clip,2,ORG
StatLocked,2,PRODUCT
s/p cvl & thoracotomy,2,ORG
s/p sternotomy & exploration,2,ORG
intraparenchymal hematoma,2,PERSON
NEBH,2,ORG
"VAP
 Admitting Diagnosis",2,PERSON
Max,2,PERSON
MR CONTRAST GADOLIN     Clip,2,ORG
HASTE,2,GPE
"NG
 Admitting Diagnosis",2,FAC
pna p/w,2,ORG
Uncomplicated,2,ORG
S/P CABG,2,ORG
Seldinger,2,PERSON
HOURS,2,ORG
COMPLETE,2,ORG
Left lung mass,2,LOC
LEFT                                   Clip,2,PERSON
s/p RIGHT,2,ORG
Mediastinoscopy,2,PRODUCT
new hematoma,2,GPE
Exchange,2,ORG
"s/p rt pneumonectomy
 REASON FOR THIS EXAMINATION",2,ORG
neuro exam,2,PERSON
Left VATS,2,LOC
LOC,2,ORG
subQ emphysema,2,PERSON
Amplatzer,2,PRODUCT
Ischemic,2,NORP
Uncomplicated IVC,2,ORG
MRI Liver TODAY,2,WORK_OF_ART
GU,2,GPE
BLADDER & RENAL,2,ORG
Five mm,2,QUANTITY
six days,2,DATE
the MR,2,ORG
the last four days,2,DATE
Biopsy,2,PERSON
VATS & decortication,2,ORG
"Rt Cerebellar Mass
 REASON FOR THIS EXAMINATION",2,ORG
the Attending Neuroradiologist,2,ORG
the mastoid air cells,2,ORG
Only one,2,CARDINAL
wheezing s/p,2,PERSON
PP,2,NORP
GBM,2,ORG
Mild fluid,2,PERSON
hemangioblastoma,2,ORG
PVD,2,ORG
Lupron,2,GPE
s/p r. upper,2,ORG
cm above carina,2,PERSON
Cerebellar,2,ORG
AMS s/p NG,2,ORG
RIJ Swan,2,ORG
EU,2,ORG
s/p LIJ,2,ORG
OR,2,GPE
midnight,2,TIME
Encephalomalacia,2,PERSON
Radiology,2,GPE
R Lung,2,PERSON
bilobar pneumonia,2,ORG
hematoma around,2,PERSON
n/v,2,ORG
Post,2,ORG
the cul-de-sac,2,FAC
CT Chest,2,ORG
Chiba,2,ORG
DVT for PICC,2,ORG
s/p chemo/radiation,2,ORG
Tiny,2,GPE
Request,2,PERSON
Interstitial,2,ORG
w/ inc hypoxia,2,ORG
CAROTID,2,PERSON
Septic,2,PRODUCT
"CVA
  Contrast",2,ORG
Hemorrhagic,2,PERSON
CV,2,GPE
Thrombi,2,GPE
"DVT
 REASON FOR THIS EXAMINATION",2,PRODUCT
s/p C-spine,2,ORG
s/p ETT exchange,2,ORG
Lateral,2,PERSON
MPRAGE,2,ORG
h.o.,2,GPE
early this afternoon,2,TIME
RLQ ABD PAIN,2,ORG
plaese obatin,2,PERSON
LEFT LATERAL,2,PERSON
BLjb FRI,2,ORG
ABDOMINAL FLUORO,2,PERSON
VI,2,ORG
RLLobectomy,2,ORG
s/p open,2,ORG
Segment IV Hepatic Resection,2,ORG
post-IV,2,ORG
PTX s/p CT pull,2,ORG
PCA,2,ORG
Hyperdensity,2,PERSON
Bronchial Atrtery Embolization,2,ORG
"CA
 REASON FOR THIS EXAMINATION",2,FAC
POT,2,ORG
Level IIB,2,PERSON
the septum pellucidum,2,ORG
CA        s/p R IJ,2,PRODUCT
"s/p fall
 REASON FOR THIS EXAMINATION",2,ORG
NSCLC s/p bronchoscopy/debulking c/b airway perforation,2,ORG
BILATERAL UPPER EXTREMITY ULTRASOUND,2,ORG
GALLBLADDER SCAN                                                Clip,2,ORG
Berenstein,2,ORG
"RVR
 REASON FOR THIS EXAMINATION",2,ORG
s/p stent,2,ORG
OPACITY &,2,ORG
layering pleural fluid,2,ORG
TRANSLUM ANGIO,2,ORG
ABD/PELClip,2,ORG
the Right middle and Lower,2,WORK_OF_ART
Confirm NG,2,ORG
p/w GI,2,ORG
Increasing,2,GPE
SUPINE AP CHEST,2,ORG
eight minutes,2,TIME
DUPLEX DOP ABD/,2,ORG
Swan,2,GPE
PORTABLE AP SUPINE CHEST,2,ORG
Extensive L,2,ORG
Semiupright AP,2,ORG
LLL,2,PERSON
Debris,2,PERSON
and/or hematoma,2,PERSON
Sternotomy,2,PERSON
"the p
 Admitting Diagnosis",2,GPE
"the
 PICC",2,LOC
pleural air,2,GPE
L,2,LOC
Wallstent,2,ORG
s/p Low,2,ORG
Transcatheter,2,ORG
XRT,2,PERSON
Pleasea,2,ORG
Radiographic,2,PERSON
AIBP,2,ORG
swan tip placement.also,2,WORK_OF_ART
ischemic v. colitis earlier,2,PERSON
III,2,ORG
foci,2,GPE
PTX s/p chest tube,2,ORG
YRS,2,ORG
Advanced,2,PERSON
SBT,2,ORG
Hematocrit,2,PRODUCT
Assessment,2,PERSON
ATN,2,ORG
cvl,2,PRODUCT
Hypotensive,2,ORG
Sestamibi,2,PERSON
CareWeb,2,PERSON
DDD,2,PERSON
s/p RMLobectomy and CT,2,ORG
VA,2,GPE
about half,2,CARDINAL
Comparisons,2,PERSON
A-GRAM                *,2,PRODUCT
CA,2,CARDINAL
GI Bleed,2,ORG
"LLLobectomy
 REASON FOR THIS EXAMINATION",2,ORG
S/p swan-ganz,2,ORG
"RLLobectomy
 REASON FOR THIS EXAMINATION",2,ORG
LEFT PLEURAL EFFUSION,2,ORG
earlier in the same day,2,DATE
s/p RLL Lobectomy,2,ORG
PE aortic dissection,2,ORG
Clip,2,ORG
s/p CABG s/p recent,2,ORG
HEM/PERTI,2,ORG
VT s/p ICD/PCM,2,ORG
MRSA PNA,2,ORG
BAL,2,PERSON
Mesenteric,2,ORG
POE,2,ORG
J.,2,PERSON
pneumona,2,GPE
VATS RLL,2,ORG
EFFUSION\PLEUR-X,2,PERSON
PD,2,GPE
Chest x-Ray,2,PRODUCT
LLQ,2,ORG
POST OP ABDOMINAL SURGERY.NOW,2,ORG
the evening,2,TIME
SINGLE AP SUPINE CHEST,2,ORG
PACU--,2,CARDINAL
a few months ago,2,DATE
LEFT                              Clip,2,PERSON
Dilute Gastrografin,2,PERSON
GT,2,GPE
monday,2,DATE
Comparison AP,2,ORG
s/p IP,2,ORG
Parenchymal,2,ORG
J.                    NSURG TSICU,2,PERSON
CKD,2,ORG
Port-a-Cath,2,FAC
Schedule Exam,2,ORG
Needle,2,PERSON
sup seg,2,PRODUCT
s/p biopsy and,2,ORG
Left Lower,2,FAC
lobecectomy & chest wall resection ribs,2,ORG
"IR b
 Admitting Diagnosis",2,ORG
Nasoenteric,2,GPE
cardiomeg,2,PERSON
Gastrografin,2,NORP
LEFT PORT                                      Clip,2,PERSON
c. diff,2,PERSON
The Swan-Ganz,2,ORG
ABG,2,ORG
Primary,2,PERSON
JWK TUE,2,PERSON
Initial AP,2,ORG
"mesenteris ischemia
  Contrast",2,ORG
Multilobar,2,GPE
Unclear,2,ORG
clavian,2,NORP
CXR POD,2,ORG
Swan Ganz,2,PERSON
s/p  RIJ,2,ORG
basilic PICC,2,ORG
BOLD,2,PRODUCT
PE/Pulmonary,2,ORG
WWM FRI,2,ORG
Lat,2,PERSON
Vanc/Cefepime?Flagyl,2,ORG
Intraspinal,2,ORG
Standard PA &,2,ORG
Associated,2,ORG
ECF,2,ORG
eleventh,2,ORDINAL
influenza,2,PERSON
acute u/o drp[//acute,2,ORG
LEFT LOWER EXTREMITY DOPPLER ULTRASOUND,2,ORG
Advancement of Swan-Ganz,2,ORG
ICD,2,ORG
SOMNOLENCE S/P VAT,2,ORG
bilateral(last x-ray,2,NORP
"s/p
  OGT",2,ORG
Sudden,2,PERSON
Ventriculomegaly,2,GPE
Bullecty,2,GPE
two and a half hours earlier,2,DATE
w/ inc WBC,2,ORG
"s/p l
  central subclavian",2,ORG
Left lung CA,2,PERSON
gram,2,CARDINAL
Luschka,2,PERSON
LUNG CA SPN,2,PERSON
fluid s/p,2,ORG
last week's,2,DATE
"XRT
 REASON FOR THIS EXAMINATION",2,PRODUCT
Retraction,2,ORG
neurosurg,2,GPE
Hematuria,2,GPE
PTX s/p L CT,2,ORG
PVA,2,ORG
Magnevist,2,ORG
Acute,2,FAC
LE motor,2,ORG
DLnc WED,2,PERSON
"Dobhoff
 Admitting Diagnosis: RIGHT PARACOSTASL TUMOR/SDA
 _",2,ORG
DL L,2,ORG
s/p Chest,2,ORG
Bedside,2,PERSON
UOP,2,GPE
w/ SOB s/p Ex,2,PERSON
